Date,Aus 1 Year Yield
28/02/2023,3.591
31/01/2023,3.835
31/12/2022,3.214
30/11/2022,3.345
31/10/2022,3.115
30/09/2022,3.149
31/08/2022,3.203
31/07/2022,2.785
30/06/2022,2.32
31/05/2022,2.416
30/04/2022,2.04
31/03/2022,1.868
28/02/2022,1.016
31/01/2022,0.649
31/12/2021,0.619
30/11/2021,0.286
31/10/2021,0.199
30/09/2021,0.306
31/08/2021,0.03
31/07/2021,0.009
30/06/2021,-0.003
31/05/2021,0.007
30/04/2021,0.027
31/03/2021,0.083
28/02/2021,0.038
31/01/2021,0.056
31/12/2020,0.049
30/11/2020,0.048
31/10/2020,0.02
30/09/2020,0.073
31/08/2020,0.126
31/07/2020,0.198
30/06/2020,0.247
31/05/2020,0.272
30/04/2020,0.293
31/03/2020,0.22
29/02/2020,0.278
31/01/2020,0.632
31/12/2019,0.74
30/11/2019,0.938
31/10/2019,0.756
30/09/2019,0.852
31/08/2019,0.785
31/07/2019,0.889
30/06/2019,0.996
31/05/2019,1.05
30/04/2019,1.226
31/03/2019,1.436
28/02/2019,1.555
31/01/2019,1.751
31/12/2018,1.889
30/11/2018,1.944
31/10/2018,1.905
30/09/2018,1.93
31/08/2018,1.938
31/07/2018,1.977
30/06/2018,1.997
31/05/2018,1.95
30/04/2018,1.82
31/03/2018,1.979
28/02/2018,1.916
31/01/2018,1.854
31/12/2017,1.772
30/11/2017,1.817
31/10/2017,1.697
30/09/2017,1.746
31/08/2017,1.8
31/07/2017,1.681
30/06/2017,1.646
31/05/2017,1.637
30/04/2017,1.566
31/03/2017,1.619
28/02/2017,1.577
31/01/2017,1.612
31/12/2016,1.713
30/11/2016,1.735
31/10/2016,1.688
30/09/2016,1.65
31/08/2016,1.572
31/07/2016,1.445
30/06/2016,1.61
31/05/2016,1.601
30/04/2016,1.714
31/03/2016,1.904
29/02/2016,2.03
31/01/2016,1.931
31/12/2015,1.922
30/11/2015,2.031
31/10/2015,2.005
30/09/2015,1.798
31/08/2015,1.922
31/07/2015,1.877
30/06/2015,1.926
31/05/2015,1.954
30/04/2015,1.919
31/03/2015,1.983
28/02/2015,1.8
31/01/2015,1.88
31/12/2014,2.031
30/11/2014,2.299
31/10/2014,2.503
30/09/2014,2.509
31/08/2014,2.598
31/07/2014,2.511
30/06/2014,2.558
31/05/2014,2.471
30/04/2014,2.568
31/03/2014,2.605
28/02/2014,2.613
31/01/2014,2.441
31/12/2013,2.418
30/11/2013,2.508
31/10/2013,2.534
30/09/2013,2.554
31/08/2013,2.438
31/07/2013,2.4
30/06/2013,2.318
